record_id,domain,paper_id,candidate_count,internal_candidate_count,external_candidate_count,top_source,top_type,top_claim,final_score,candidate_to_text_support,text_to_candidate_salience,best_sentence,description,caption
test-CL:1906.07040v1:120:120,C&L,1906.07040v1,21,21,0,rule,comparison,"path2vec outperforms TransR on 6/6 shared numeric columns, with an average difference of 17.08.",0.558461,0.098561,0.820545,"Path2vec outperforms other graph embeddings, achieving high correlations with WordNet similarities","Discussion of Results The left part of Table 1 shows results with the WordNet similarity scores used as gold standard. Path2vec outperforms other graph embeddings, achieving high correlations with WordNet similarities. This shows that our model efficiently approximates different graph measures. The right part of Table 1 shows results [CONTINUE] for the correlations with human judgments (SimLex999). We report the results for the best models for each method, all of them (except FSE) using vector size 300 for comparability.",Table 1: Spearman correlations with WordNet similarities (left) and human judgments (right) ×100.
test-CL:2001.02836v1:132:132,C&L,2001.02836v1,29,9,20,qtp_adapted_with_description,comparison,MWE uses a much smaller embedding dimension (300) compared to BERT (768) and ELMo (512).,0.452951,0.17574,0.662447,It is observed that that MWE outperforms ELMo and achieves comparable results with BERT with smaller embedding dimension and much less training complexities,"We also compare MWE with pre-trained contextualized word embedding models in Table 4 for this task, with overall performance, embedding dimensions, and training times reported. It is observed that that MWE outperforms ELMo and achieves comparable results with BERT with smaller embedding dimension and much less training complexities.","Table 4: Comparison of MWE against language models on the WS task. Overall performance, embedding dimension, and training time (days) on a single GPU are reported."
test-CL:1904.05426v1:144:144,C&L,1904.05426v1,32,29,3,pure_llm_with_description,comparison,"CIPHER-AVG lags behind the best PL by 4.0 points for English, 13.3 for French, 6.1 for Farsi, and 1.2 for Swahili (average 6.1).",0.605755,0.272582,0.665463,"The difference between the best and the worst performing PL for each CL ranges from 24.62 percentage points for Swahili to 48.34 points for French, and an average difference of 34.5 points among all languages","Table 2 presents the intrinsic performance of the cipher grounder over all PL-CL pairs considered. The difference between the best and the worst performing PL for each CL ranges from 24.62 percentage points for Swahili to 48.34 points for French, and an average difference of 34.5 points among all languages. [CONTINUE] The case when PL=CL is also presented in Table 2 as a reference and provides a reliable upper-bound under zero-resource conditions. [CONTINUE] It is worth noting the difference in accuracy when comparing the best performing PL for each CL with its corresponding PL=CL upper-bound. [CONTINUE] Among all CLs, the best cipher grounder for French (es-fr) gets the closest to its upper","Table 2: Performance of cipher grounder using brown (|C|=500) as labeler. The best PL for each CL besides itself, is shown in bold. The artificial case where we have CL POS data (PL=CL) is shown for comparison, as is the ultimately used cipher-avg method."
test-CL:1904.00132v2:156:156,C&L,1904.00132v2,24,13,11,qtp_adapted_table_only,comparison,"The dev and test sets have very similar label distributions, differing by less than 1% for each emotion.",0.507783,0.230424,0.343378,"According to the description in (CodaLab, 2019), the label distribution for dev and test sets are roughly 4% for each of the emotions","According to the description in (CodaLab, 2019), the label distribution for dev and test sets are roughly 4% for each of the emotions. However, from the dev set (Table 2) we know that the proportions of each of the emotion categories are better described as %5 each, thereby we use %5 as the empirical estimation of distribution Pte(xtr i ). We did not use the exact proportion of dev set as the estimation to prevent the overfitting towards dev set. The sample distribution of the train set is used as Ptr(xtr i ).","Table 2: Label distribution of train, dev, and test set"
test-CL:1903.10104v1:168:168,C&L,1903.10104v1,43,28,15,rule,comparison,"BiLSTM-CRF outperforms RST-parser on 3/3 shared numeric columns, with an average difference of 44.83.",0.379641,0.065869,0.0,Table 4 shows that BiLSTM-CRF outperforms other methods in F1,"Table 4 shows that BiLSTM-CRF outperforms other methods in F1. More importantly, the perfor [CONTINUE] mance on reviews is lower than those reached on existing datasets, e.g., an F1 of 86.7 is obtained by CRF for essays (Stab and Gurevych, 2017).","Table 4: Proposition segmentation results. Result that is significantly better than all comparisons is marked with ∗ (p<10−6, McNemar test)."
test-CL:1809.00647v1:180:180,C&L,1809.00647v1,74,59,15,pure_llm_with_description,comparison,PageRank performs worse than Frequency on all precision and recall metrics.,0.709345,0.799959,0.256955,PageRank performs worse than Frequency on all,"We summarize the main results in Table 3. [CONTINUE] Frequency is the best performing baseline. Its precision at 1 and 5 are higher than 40%. PageRank performs worse than Frequency on all [CONTINUE] the precision and recall metrics. Location performs the worst. [CONTINUE] LeToR outperforms the baselines significantly on all metrics. Particularly, its P@1 value outperforms the Frequency baseline the most (4.64%), indicating a much better estimation on the most salient event. In terms of AUC, LeToR outperforms Frequency by a large margin (11.19% relative gain). [CONTINUE] The KCE model further beats LeToR significantly on all metrics, by around 5% on AUC and precision values, and by around 10%","Table 3: Event salience performance. (-E) and (-F) marks removing Entity information and Features from the full KCM model. The relative performance differences are computed against Frequency. W/T/L are the number of documents a method wins, ties, and loses compared to Frequency. † and ‡ mark the sta"
test-CL:1902.10667v2:192:192,C&L,1902.10667v2,26,18,8,rule,comparison,"H-combined outperforms SHOMA on 4/4 shared numeric columns, with an average difference of 9.183.",0.37196,0.0488,0.0,"GCN works the best for discontinuous MWEs in EN and FA, while H-combined outperforms based on results for all MWEs except for FA","we show the superior performance (in terms of MWE-based F-score) of our top systems on the test data compared to the baseline and stateof-the-art systems, namely, ATILF-LLF (Al Saied et al., 2017) and SHOMA (Taslimipoor and Rohanian, 2018). GCN works the best for discontinuous MWEs in EN and FA, while H-combined outperforms based on results for all MWEs except for FA. [CONTINUE] The overall results confirm our assumption that a hybrid architecture can mitigate errors of individual models and bolster their strengths.",Table 2: Comparing the performance of the systems on test data in terms of MWE-based F-score
test-CL:1805.02023v4:204:204,C&L,1805.02023v4,67,43,24,rule,comparison,"Gold seg / Che et al. ( 2013 )* outperforms No seg / Char baseline on 3/3 shared numeric columns, with an average difference of 10.6.",0.415526,0.16883,0.0,"With gold-standard segmentation, our word-based methods give competitive results to the state-of-the-art on the dataset (Che et al., 2013; Wang et al., 2013),","The OntoNotes test results are shown in Table 5. With gold-standard segmentation, our word-based methods give competitive results to the state-of-the-art on the dataset (Che et al., 2013; Wang et al., 2013), [CONTINUE] In addition, the results show [CONTINUE] that our word-based models can serve as highly competitive baselines. With automatic segmentation, the F1-score of word+char+bichar LSTM decreases from 75.77% to 71.70%, showing the influence of segmentation to NER. Consistent with observations on the development set, adding lattice word information leads to an 88.81% → 93.18% increasement of F1-score over the character baseline, as compared with 88.81% → 91.87% by adding bichar+softwor",Table 5: Main results on OntoNotes.
test-CL:1809.00344v1:216:216,C&L,1809.00344v1,24,2,22,qtp_adapted_with_description,comparison,Other Language from Previous Turns (26.32) outperforms Current Language from Previous Turns (26.21).,0.607001,0.214184,0.948923,"We conduct an ablation study to validate our hypothesis of using the complete context versus using only one of the three types of contexts in a bilingual multi-speaker conversation: (i) current turn, (ii) previous turns in current language, and (iii) previous turns in the other language","We conduct an ablation study to validate our hypothesis of using the complete context versus using only one of the three types of contexts in a bilingual multi-speaker conversation: (i) current turn, (ii) previous turns in current language, and (iii) previous turns in the other language. The results for En-De are reported in Table 4. We see decrease in BLEU for all types of contexts with significant decrease when considering only current language from previous turns.The results show that the current turn has the most influence on translating a sentence,",Table 4: BLEU scores for En-De bilingual test set.
test-CL:1909.03104v2:228:228,C&L,1909.03104v2,53,44,9,rule,comparison,"EigenSent⊕Avg outperforms PCA on 8/8 shared numeric columns, with an average difference of 15.5.",0.372685,0.050411,0.0,"Our model outperformed EignSent on all tasks and generally performed better than or on par with p-means, ELMo, BERT, and EigenSent⊕Avg on both the 20-NG and R-8","Table 4 shows the best results for the various models as reported in Kayal and Tsat [CONTINUE] saronis (2019), in addition to the best performance of our model denoted as c[k]. [CONTINUE] Note that the DCT-based model, DCT*, described in Kayal and Tsatsaronis (2019) performed relatively poorly in all tasks, while our model achieved close to state-of-the-art performance in both the 20-NG and R-8 tasks. Our model outperformed EignSent on all tasks and generally performed better than or on par with p-means, ELMo, BERT, and EigenSent⊕Avg on both the 20-NG and R-8. On the other hand, both EigenSent⊕Avg and ELMo performed better than all other models on SST-5.","Table 4: Performance in text classification (20-NG, R-8) and sentiment (SST-5) tasks of various models as reported in Kayal and Tsatsaronis (2019), where DCT* refers to the implementation in Kayal and Tsatsaronis (2019). Our DCT embeddings are denoted as c[k] in the bottom row. Bold indicates the be"
test-CL:1809.01375v1:240:240,C&L,1809.01375v1,80,946,12,qtp_adapted_table_only,comparison,f1-neigh has the strongest monotonic relationship with cosine similarity among all methods.,0.522461,0.135341,0.57966,Table 2 shows a selection of the f1-scores achieved on properties in the CSLB dataset in relation to the average cosine similarity of the associated words,Table 2 shows a selection of the f1-scores achieved on properties in the CSLB dataset in relation to the average cosine similarity of the associated words. A high average cosine similarity means that the concepts overall have similar vector representations and can thus be seen as having a low diversity. The results of the Spearman Rank correlation clearly indicate that scores achieved by nearest neighbors correlate more strongly with the average cosine than the two supervised classification approaches.,"Table 2: Performance of different approaches in relation to the average cosine similarity of words associated with a property (cos). The last row shows the Spearman Rank correlation between f1-scores and average cosine similarity. Property types are listed under type (p = part, vp = visual-perceptua"
test-CL:1906.06947v1:252:252,C&L,1906.06947v1,37,16,21,pure_llm_with_description,comparison,"ODEE-FER (49.8% F1) outperforms the baseline (Nguyen et al., 46.7% F1) by 3.1 percentage points.",0.42834,0.346116,0.322401,By comparing Nguyen et al,"Table 4 shows the overall performance of schema matching on GNBusinessTest. From the table, we can see that ODEE-FER achieves the best F1 scores among all the methods. By comparing Nguyen et al. (2015) and ODEEF (p = 0.01), we can see that using continuous contextual features gives better performance than discrete features. [CONTINUE] Among ODEE models, ODEE-FE gives a 2% gain in F1 score against ODEE-F, [CONTINUE] there is a 1% gain in F",Table 4: Overall performance of schema matching.
test-CL:1704.05781v1:264:264,C&L,1704.05781v1,23,7,16,pure_llm_with_description,comparison,"For OpenSubtitles, using cross-sentential context improves Analogies score from 0.34 to 0.43.",0.487678,0.060398,0.628581,"However, for analogy tasks, crosssentential contexts lead to improved results thanks to the increased window it provides","For similarity tasks, cross-sentential contexts do not seem useful, and can even be detrimental for large window sizes. However, for analogy tasks, crosssentential contexts lead to improved results thanks to the increased window it provides. This is especially pronounced for corpora with short sentences such as OpenSubtitles (see Table 3).",Table 3: Average performance across all models with and without cross-sentential contexts.
test-CL:1904.12162v2:276:276,C&L,1904.12162v2,80,98,0,rule,comparison,"N-gram auto-sklearn outperforms sum: 341 / Stanford CoreNLP SO on 7/7 shared numeric columns, with an average difference of 106.4.",0.362039,0.026754,0.0,"shows the number of correct predictions, precision, recall, and F1 values with all tools including our method (n-gram auto-sklearn)","Table [CONTINUE] shows the number of correct predictions, precision, recall, and F1 values with all tools including our method (n-gram auto-sklearn). [CONTINUE] We can see that the number of correct predictions are higher with our method in all three datasets, and our method achieved the highest F1 values for all three positive, all three negative, and one neutral. [CONTINUE] In summary, our method using n-gram IDF and automated machine learning (auto-sklearn) largely outperformed existing sentiment analysis tools.","TABLE I: The comparison result of the number of corrected prediction, precision, recall, and f1-score"
test-CL:1911.04118v2:288:288,C&L,1911.04118v2,30,18,12,pure_llm_with_description,comparison,"Among single negative labels, Neg:3 achieves the highest scores on all metrics.",0.408774,0.050826,0.179512,"Table 6 shows the results: Label 3 is the most effective negative type of the three,","Table 6: Impact of different labels of ASNQ on fine-tuning BERT for answer sentence selection. Neg and Pos refers to question-answer (QA) pairs of that particular label being chosen for fine-tuning. [CONTINUE] We carried out experiments by fine-tuning BERTBase on ASNQ with specific label categories assigned to the negative class. Table 6 shows the results: Label 3 is the most effective negative type of the three,",Table 6: Impact of different labels of ASNQ on fine-tuning BERT for answer sentence selection. Neg and Pos refers to question-answer (QA) pairs of that particular label being chosen for fine-tuning.
test-CL:2001.05316v1:300:300,C&L,2001.05316v1,26,19,7,rule,comparison,"#of samples/class outperforms Not pretrained on 6/6 shared numeric columns, with an average difference of 634.1.",0.372022,0.048938,0.0,Various subsets of authors were chosen and the dataset was truncated to each author having the same number of samples,"Various subsets of authors were chosen and the dataset was truncated to each author having the same number of samples. [CONTINUE] with and without pre-training character level embedding and comparing the proposed architectures on the held-out dataset. [CONTINUE] To illustrate the need of pre-trained character embeddings, we see from III that using a pre-trained embedding increases the accuracy across datasets and the different number of authors, regardless of the amount of data for each author. [CONTINUE] increase the performance a few degrees. [CONTINUE] we analyzed the importance of pretrained character embedding for author attribution and showed that pre-training can result in better perf",TABLE III: pretrained vs non-pretrained comparison
test-CL:2002.10345v1:312:312,C&L,2002.10345v1,32,26,6,rule,comparison,"BERTSDV outperforms BERTSDV on 4/4 shared numeric columns, with an average difference of 0.5575.",0.35,0.0,0.0,We choose different teacher size K and evaluate our models in three datasets,"We choose different teacher size K and evaluate our models in three datasets. Table 2 shows that teacher size is sensitive to datasets. Therefore, we select the best teacher size for each dataset in the following experiment.","Table 2: Results on IMDb dataset over different teacher sizes. BERTSDV(K=1) is same as BERTSDA(K=1). For IMDb and AG’s News, we report test error rate (%). For SNLI, we report accuracy (%). T denotes the total number of iterations."
test-CL:2003.03716v1:324:324,C&L,2003.03716v1,23,2,21,qtp_adapted_table_only,comparison,2-LA outperforms Greedy Search by +0.21 BLEU points.,0.364392,0.031983,0.0,We suggest one of the reasons of these results are caused by the EOS problem,Table 3: We show the results of applying LA module to the transformer model trained on the WMT14 dataset. We find that the LA module slightly improves the original model but harms the performance when the LA time step is 5. We suggest one of the reasons of these results are caused by the EOS problem.,Table 3: We show the results of applying LA module to the transformer model trained on the WMT14 dataset. We find that the LA module slightly improves the original model but harms the performance when the LA time step is 5. We suggest one of the reasons of these results are caused by the EOS problem
test-CL:1808.09468v1:336:336,C&L,1808.09468v1,32,15,17,rule,comparison,"Both outperforms WebSplit on 2/2 shared numeric columns, with an average difference of 49.",0.360445,0.023211,0.0,"Reintroducing the downsampled, in-domain training data (BOTH) further improves performance on the WebSplit evaluation","We compare three training configurations: WEBSPLIT only, WIKISPLIT only, and BOTH, which is simply their concatenation. [CONTINUE] The WEBSPLIT model scores 35.3 BLEU on the WebSplit validation set but fails to generalize beyond its narrow domain, as evidenced by reaching only 4.2 BLEU on the WikiSplit validation set. [CONTINUE] In contrast, the WIKISPLIT model achieves 59.4 BLEU on the WebSplit validation set, [CONTINUE] Reintroducing the downsampled, in-domain training data (BOTH) further improves performance on the WebSplit evaluation.",Table 4: Corpus-level BLEU scores on the validation sets for the same model architecture trained on different data.
test-CL:1908.11049v1:348:348,C&L,1908.11049v1,80,172,7,pure_llm_with_description,comparison,"For the Tweet task, MTML achieves the highest Macro-F1 average (0.31), outperforming STSL (0.23) and all other models.",0.612676,0.13928,1.0,"When we jointly train each task on the three languages, the performance decreases in most cases, other than the target group classification tasks","When we jointly train each task on the three languages, the performance decreases in most cases, other than the target group classification tasks. [CONTINUE] Yet, multilingual training of the target group classification task improves in all languages. Since the target group classification task involves 16 labels, the amount of data annotated for each label is lower than in other tasks. Hence, when aggregating annotated data in different languages, the size of the training data also increases, due to the relative regularity of identification words of different groups in all three languages in comparison to other tasks.",Table 4: Full evaluation of tasks where multilingual and multitask models outperform on average single task single language model on four different tasks.
test-CL:1906.04106v1:360:360,C&L,1906.04106v1,40,34,6,pure_llm_with_description,comparison,New evaluation method yields higher Absent F1@M than old method for all models.,0.636737,0.212194,1.0,"Table 6 shows that for all generative models, the evaluation scores computed by our method are higher than those computed by prior method","Table 6 shows that for all generative models, the evaluation scores computed by our method are higher than those computed by prior method.",Table 6: Keyphrase prediction results on the KP20k dataset with our new evaluation method.
test-CL:1905.07588v1:372:372,C&L,1905.07588v1,26,18,8,pure_llm_with_description,extremum,The best MRR across all configurations is 0.961 achieved by BERTlarge on TrecQA.,0.444308,0.077627,0.700724,"Despite training on a fraction of the data available, the proposed BERT-based models surpass the previous state-of-the-art models by a large margin on all datasets","We show the main result in Table 2 and 3. Despite training on a fraction of the data available, the proposed BERT-based models surpass the previous state-of-the-art models by a large margin on all datasets",Table 3: Results of BERTbase and BERTlarge in test set of five datasets. The number of training epochs is 3.
test-CL:1909.03590v3:384:384,C&L,1909.03590v3,26,17,9,qtp_adapted_with_description,comparison,"BigRNN outperforms BaseRNN on F@10 for Random and Length, and on F@5 for Alpha and Appear-Pre.",0.576299,0.088357,1.0,"As shown in Table 4, BigRNN and Transformer are not able to outperform BaseRNN","As shown in Table 4, BigRNN and Transformer are not able to outperform BaseRNN.",Table 4: F1 scores on present keyphrase generation of One2Seq models with different model complexities (BeamWidth=50).
test-CL:1906.02361v1:396:396,C&L,1906.02361v1,15,2,13,qtp_adapted_table_only,comparison,CoS-E-open-ended* improves over CoS-E-limited-open-ended by 22.2% absolute.,0.393136,0.081058,0.26663,"We observe that even using these limited kind of explanations improves over the BERT baseline in Table 4, which suggests that the explanations are providing useful information beyond just mentioning the correct or incorrect answers","Table 4 also contains results that use only the explanation and exclude the original question from CQA denoted by 'w/o question'. These variants also use explanation during both train and validation. [CONTINUE] We observe that even using these limited kind of explanations improves over the BERT baseline in Table 4, which suggests that the explanations are providing useful information beyond just mentioning the correct or incorrect answers. [CONTINUE] In Table 2, using CAGE-reasoning at both train and validation resulted in an accuracy of 72%, but Table 4 shows that if CAGE-reasoning truly captured all information provided in CoS-E-openended, performance would be 90%.",Table 4: Oracle results on CQA dev-random-split using different variants of CoS-E for both training and validation. * indicates CoS-E-open-ended used during both training and validation to contrast with CoS-E-open-ended used only during training in Table 2.
test-CL:2002.00652v2:408:408,C&L,2002.00652v2,31,23,8,pure_llm_with_description,comparison,Ours without BERT outperforms EditSQL (previous best without BERT) on SParC Ques.Match by 8.8 points,0.394886,0.233554,0.602159,"Compared with the previous SOTA without BERT on SPARC, our model improves Ques.Match and Int.Match by 10.6 and 5.4 points, respectively","Taking CONCAT as a representative, we compare the performance of our model with other models, as shown in Table 1. As illustrated, our model outperforms baselines by a large margin with or without BERT, achieving new SOTA performances on both datasets. Compared with the previous SOTA without BERT on SPARC, our model improves Ques.Match and Int.Match by 10.6 and 5.4 points, respectively.","Table 1: We report the best performance observed in 5 runs on the development sets of both SParC and CoSQL, since their test sets are not public. We also conduct Wilcoxon signed-rank tests between our method and the baselines, and the bold results show the improvements of our model are significant w"
test-CL:2003.01857v1:420:420,C&L,2003.01857v1,80,105,0,rule,comparison,"VDCNN outperforms VDCNN on 2/2 shared numeric columns, with an average difference of 2.66.",0.407203,0.112809,0.732195,"From these results we can see that our model outperforms VDCNN on AG News for the official error rate, and is very close to VDCNN's performance on Sogou News","The experiment results are presented in Table 2. The best performances of our configurations are highlighted in red, which are 8.37, 3.67, 13.79 and 7.89 for the error rates of our proposed model on AG, Sogou, AG(5k), Sogou(10k) respectively. The bold numbers are the officially reported accuracy of VDCNN, to which our proposed model is close. The numbers in blue are the results coming from our comparison experiment by using VDCNN where we set the sequence length to 256 under word level. From these results we can see that our model outperforms VDCNN on AG News for the official error rate, and is very close to VDCNN's performance on Sogou News. If we set VCDNN with the same input sequence leng",Table 2: Testing error of our model and related studies
test-CL:2001.04246v1:432:432,C&L,2001.04246v1,15,15,0,rule,comparison,"+ L [ITALIC] CE (All) outperforms Base-KD on 4/4 shared numeric columns, with an average difference of 6.35.",0.362426,0.027613,0.0,"By incorporating the probe models, the performance (line 2 in Table 4) is consistently improved, indicating the benefits from hierarchically decomposed taskoriented knowledge","The Base-KD is a naive knowledge distillation version in which only the logits of the last layer are distilled without considering hidden layer knowledge and supervised label knowledge. By incorporating the probe models, the performance (line 2 in Table 4) is consistently improved, indicating the benefits from hierarchically decomposed taskoriented knowledge. We then leverage Data Augmentation (DA) to enrich task-oriented knowledge and this technique also improves performance for all tasks, especially for tasks that have a limited scale of data (i.e., MRPC and RTE). DA is also adopted in existing KD-based compression studies (Tang et al., 2019; Jiao et al., 2019). When taking the supervised ",Table 4: The effect of knowledge loss terms.
